title,url
Kobayashi-san Chi no Maid Dragon S,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S
Tsuki ga Michibiku Isekai Douchuu,https://myanimelist.net/anime/43523/Tsuki_ga_Michibiku_Isekai_Douchuu
Genjitsu Shugi Yuusha no Oukoku Saikenki,https://myanimelist.net/anime/41710/Genjitsu_Shugi_Yuusha_no_Oukoku_Saikenki
Seirei Gensouki,https://myanimelist.net/anime/44203/Seirei_Gensouki
Kanojo mo Kanojo,https://myanimelist.net/anime/43969/Kanojo_mo_Kanojo
"Tantei wa Mou, Shindeiru.",https://myanimelist.net/anime/46471/Tantei_wa_Mou_Shindeiru
Bokutachi no Remake,https://myanimelist.net/anime/40904/Bokutachi_no_Remake
Sonny Boy,https://myanimelist.net/anime/48849/Sonny_Boy
Shinigami Bocchan to Kuro Maid,https://myanimelist.net/anime/47257/Shinigami_Bocchan_to_Kuro_Maid
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,https://myanimelist.net/anime/42282/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta_X
Jahy-sama wa Kujikenai!,https://myanimelist.net/anime/48753/Jahy-sama_wa_Kujikenai
Uramichi Oniisan,https://myanimelist.net/anime/40620/Uramichi_Oniisan
Meikyuu Black Company,https://myanimelist.net/anime/42340/Meikyuu_Black_Company
Deatte 5-byou de Battle,https://myanimelist.net/anime/43814/Deatte_5-byou_de_Battle
Megami-ryou no Ryoubo-kun.,https://myanimelist.net/anime/41812/Megami-ryou_no_Ryoubo-kun
Heion Sedai no Idaten-tachi,https://myanimelist.net/anime/42625/Heion_Sedai_no_Idaten-tachi
Peach Boy Riverside,https://myanimelist.net/anime/42627/Peach_Boy_Riverside
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,https://myanimelist.net/anime/44881/100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru_2nd_Season
Shiroi Suna no Aquatope,https://myanimelist.net/anime/46093/Shiroi_Suna_no_Aquatope
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,https://myanimelist.net/anime/40960/Cheat_Kusushi_no_Slow_Life__Isekai_ni_Tsukurou_Drugstore
Re-Main,https://myanimelist.net/anime/48406/Re-Main
Mahouka Koukou no Yuutousei,https://myanimelist.net/anime/45572/Mahouka_Koukou_no_Yuutousei
Higurashi no Naku Koro ni Sotsu,https://myanimelist.net/anime/48488/Higurashi_no_Naku_Koro_ni_Sotsu
Scarlet Nexus,https://myanimelist.net/anime/48492/Scarlet_Nexus
Kageki Shoujo!!,https://myanimelist.net/anime/43691/Kageki_Shoujo
Love Live! Superstar!!,https://myanimelist.net/anime/41169/Love_Live_Superstar
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya,https://myanimelist.net/anime/41530/Magia_Record__Mahou_Shoujo_Madoka☆Magica_Gaiden_2nd_Season_-_Kakusei_Zenya
Night Head 2041,https://myanimelist.net/anime/43767/Night_Head_2041
IDOLiSH7 Third Beat!,https://myanimelist.net/anime/45577/IDOLiSH7_Third_Beat
D_Cide Traumerei the Animation,https://myanimelist.net/anime/48470/D_Cide_Traumerei_the_Animation
"Ore, Tsushima",https://myanimelist.net/anime/48252/Ore_Tsushima
