name,url
Spring 1967,https://myanimelist.net/anime/season/1967/spring
Summer 1967,https://myanimelist.net/anime/season/1967/summer
Fall 1967,https://myanimelist.net/anime/season/1967/fall
Winter 1966,https://myanimelist.net/anime/season/1966/winter
Spring 1966,https://myanimelist.net/anime/season/1966/spring
Summer 1966,https://myanimelist.net/anime/season/1966/summer
Fall 1966,https://myanimelist.net/anime/season/1966/fall
Winter 1965,https://myanimelist.net/anime/season/1965/winter
Spring 1965,https://myanimelist.net/anime/season/1965/spring
Summer 1965,https://myanimelist.net/anime/season/1965/summer
Fall 1965,https://myanimelist.net/anime/season/1965/fall
Winter 1964,https://myanimelist.net/anime/season/1964/winter
Spring 1964,https://myanimelist.net/anime/season/1964/spring
Summer 1964,https://myanimelist.net/anime/season/1964/summer
Fall 1964,https://myanimelist.net/anime/season/1964/fall
Winter 1963,https://myanimelist.net/anime/season/1963/winter
Spring 1963,https://myanimelist.net/anime/season/1963/spring
Summer 1963,https://myanimelist.net/anime/season/1963/summer
Fall 1963,https://myanimelist.net/anime/season/1963/fall
Winter 1962,https://myanimelist.net/anime/season/1962/winter
Spring 1962,https://myanimelist.net/anime/season/1962/spring
Summer 1962,https://myanimelist.net/anime/season/1962/summer
Fall 1962,https://myanimelist.net/anime/season/1962/fall
Winter 1961,https://myanimelist.net/anime/season/1961/winter
Spring 1961,https://myanimelist.net/anime/season/1961/spring
Summer 1961,https://myanimelist.net/anime/season/1961/summer
Fall 1961,https://myanimelist.net/anime/season/1961/fall
Winter 1960,https://myanimelist.net/anime/season/1960/winter
Spring 1960,https://myanimelist.net/anime/season/1960/spring
Summer 1960,https://myanimelist.net/anime/season/1960/summer
Fall 1960,https://myanimelist.net/anime/season/1960/fall
Winter 1959,https://myanimelist.net/anime/season/1959/winter
Spring 1959,https://myanimelist.net/anime/season/1959/spring
Summer 1959,https://myanimelist.net/anime/season/1959/summer
Fall 1959,https://myanimelist.net/anime/season/1959/fall
Winter 1958,https://myanimelist.net/anime/season/1958/winter
Spring 1958,https://myanimelist.net/anime/season/1958/spring
Summer 1958,https://myanimelist.net/anime/season/1958/summer
Fall 1958,https://myanimelist.net/anime/season/1958/fall
Winter 1957,https://myanimelist.net/anime/season/1957/winter
Spring 1957,https://myanimelist.net/anime/season/1957/spring
Summer 1957,https://myanimelist.net/anime/season/1957/summer
Fall 1957,https://myanimelist.net/anime/season/1957/fall
Winter 1956,https://myanimelist.net/anime/season/1956/winter
Spring 1956,https://myanimelist.net/anime/season/1956/spring
Summer 1956,https://myanimelist.net/anime/season/1956/summer
