title,url
Puzzle & Dragon,https://myanimelist.net/anime/37096/Puzzle___Dragon
Himitsu no AiPri: Ring-hen,https://myanimelist.net/anime/61092/Himitsu_no_AiPri__Ring-hen
Araiguma Calcal-dan,https://myanimelist.net/anime/60506/Araiguma_Calcal-dan
Shiawase Haitatsu Taneko,https://myanimelist.net/anime/10506/Shiawase_Haitatsu_Taneko
Tom to Jerry Gokko,https://myanimelist.net/anime/53907/Tom_to_Jerry_Gokko
Hanakappa,https://myanimelist.net/anime/8336/Hanakappa
Manul no Yuube,https://myanimelist.net/anime/38776/Manul_no_Yuube
Kaijuu Sekai Seifuku (TV),https://myanimelist.net/anime/60070/Kaijuu_Sekai_Seifuku_TV
Shin Nippon History,https://myanimelist.net/anime/54871/Shin_Nippon_History
Shimajirou no Wow!,https://myanimelist.net/anime/18941/Shimajirou_no_Wow
Nmeneko,https://myanimelist.net/anime/60947/Nmeneko
Yowamushi Monsters,https://myanimelist.net/anime/30119/Yowamushi_Monsters
Gohan Kaijuu Pap,https://myanimelist.net/anime/22669/Gohan_Kaijuu_Pap
Sumikko Gurashi: Koko ga Ochitsukun desu,https://myanimelist.net/anime/61300/Sumikko_Gurashi__Koko_ga_Ochitsukun_desu
Youkoso Ninchishou Sekai e,https://myanimelist.net/anime/58604/Youkoso_Ninchishou_Sekai_e
Pochars,https://myanimelist.net/anime/59732/Pochars
Shuwawan!,https://myanimelist.net/anime/57357/Shuwawan
Pakkororin,https://myanimelist.net/anime/38099/Pakkororin
Origami Ninja Koyankinte,https://myanimelist.net/anime/41458/Origami_Ninja_Koyankinte
Minimini Minini,https://myanimelist.net/anime/60677/Minimini_Minini
Warau Red List,https://myanimelist.net/anime/59752/Warau_Red_List
Sai-Kyo-Oh! Zukan: The Ultimate Tournament,https://myanimelist.net/anime/60596/Sai-Kyo-Oh_Zukan__The_Ultimate_Tournament
I Love Me 2nd Season,https://myanimelist.net/anime/53408/I_Love_Me_2nd_Season
Oshiri Tantei 9th Season,https://myanimelist.net/anime/58631/Oshiri_Tantei_9th_Season
Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,https://myanimelist.net/anime/54667/Mukashibanashi_no_Oheya__Tsutaetai_Nihon_Mukashibanashi
Choeganggonglyong Miniforce,https://myanimelist.net/anime/60913/Choeganggonglyong_Miniforce
Turning Mecard God,https://myanimelist.net/anime/61960/Turning_Mecard_God
Kkoma Carrie Tamgusaenghwal,https://myanimelist.net/anime/61959/Kkoma_Carrie_Tamgusaenghwal
Nyanchus,https://myanimelist.net/anime/62382/Nyanchus
Pumeog,https://myanimelist.net/anime/58574/Pumeog
Takopii no Genzai,https://myanimelist.net/anime/60489/Takopii_no_Genzai
Tu Bian Yingxiong X,https://myanimelist.net/anime/53447/Tu_Bian_Yingxiong_X
Guimi Zhi Zhu: Xiaochou Pian,https://myanimelist.net/anime/49818/Guimi_Zhi_Zhu__Xiaochou_Pian
Mofa Gongzhu de Xiao Fannao,https://myanimelist.net/anime/57353/Mofa_Gongzhu_de_Xiao_Fannao
Sousou no Frieren: ●● no Mahou,https://myanimelist.net/anime/56885/Sousou_no_Frieren__●●_no_Mahou
Hitozuma no Kuchibiru wa Kan Chuuhai no Aji ga Shite,https://myanimelist.net/anime/61023/Hitozuma_no_Kuchibiru_wa_Kan_Chuuhai_no_Aji_ga_Shite
Wanmei Shijie,https://myanimelist.net/anime/47405/Wanmei_Shijie
Chainsaw Man Recap,https://myanimelist.net/anime/62352/Chainsaw_Man_Recap
Long Zu II: Daowangzhe Zhi Tong,https://myanimelist.net/anime/59662/Long_Zu_II__Daowangzhe_Zhi_Tong
Leviathan,https://myanimelist.net/anime/59005/Leviathan
Bullet/Bullet,https://myanimelist.net/anime/53722/Bullet_Bullet
Xian Ni,https://myanimelist.net/anime/55809/Xian_Ni
Cat's♥Eye,https://myanimelist.net/anime/60347/Cats♥Eye
Pokemon Concierge Part 2,https://myanimelist.net/anime/58953/Pokemon_Concierge_Part_2
My Melody & Kuromi,https://myanimelist.net/anime/60726/My_Melody___Kuromi
Tong Ling Fei 2nd Season,https://myanimelist.net/anime/60577/Tong_Ling_Fei_2nd_Season
Yu-Gi-Oh! Card Game: The Chronicles,https://myanimelist.net/anime/60651/Yu-Gi-Oh_Card_Game__The_Chronicles
Lian Qi Shi Wan Nian,https://myanimelist.net/anime/54437/Lian_Qi_Shi_Wan_Nian
Dekichau made Kon,https://myanimelist.net/anime/61742/Dekichau_made_Kon
Fanren Xiu Xian Chuan: Waihai Fengyun,https://myanimelist.net/anime/60557/Fanren_Xiu_Xian_Chuan__Waihai_Fengyun
Jebal Joyonghi Jom Hae!,https://myanimelist.net/anime/62419/Jebal_Joyonghi_Jom_Hae
Cang Yuan Tu 2nd Season,https://myanimelist.net/anime/60420/Cang_Yuan_Tu_2nd_Season
Dungeons & Television,https://myanimelist.net/anime/62238/Dungeons___Television
Cang Lan Jue 2,https://myanimelist.net/anime/61561/Cang_Lan_Jue_2
