season,title,url
Schedule,Tomica Heroes Jobraver: Tokusou Gattai Robo (TV),https://myanimelist.net/anime/62046/Tomica_Heroes_Jobraver__Tokusou_Gattai_Robo_TV
Schedule,Takoru TV,https://myanimelist.net/anime/54873/Takoru_TV
Schedule,Princess Catch! Tiniping,https://myanimelist.net/anime/62654/Princess_Catch_Tiniping
Schedule,Hello Carbot Season 16,https://myanimelist.net/anime/62448/Hello_Carbot_Season_16
Schedule,Dinoster: Gonglyongsuhodae 3rd Season,https://myanimelist.net/anime/62680/Dinoster__Gonglyongsuhodae_3rd_Season
Schedule,Nyanchus,https://myanimelist.net/anime/62382/Nyanchus
Schedule,Pumeog,https://myanimelist.net/anime/58574/Pumeog
Schedule,Naui Bimilchingu Haechi,https://myanimelist.net/anime/62875/Naui_Bimilchingu_Haechi
Schedule,Gyotongjilseoleul Jal Jikijayo,https://myanimelist.net/anime/58528/Gyotongjilseoleul_Jal_Jikijayo
Later,Youjo Senki II,https://myanimelist.net/anime/49233/Youjo_Senki_II
Later,Mushoku Tensei III: Isekai Ittara Honki Dasu,https://myanimelist.net/anime/59193/Mushoku_Tensei_III__Isekai_Ittara_Honki_Dasu
Later,Dungeon Meshi 2nd Season,https://myanimelist.net/anime/59068/Dungeon_Meshi_2nd_Season
Later,Tensei shitara Slime Datta Ken 4th Season,https://myanimelist.net/anime/59970/Tensei_shitara_Slime_Datta_Ken_4th_Season
Later,Bocchi the Rock! 2nd Season,https://myanimelist.net/anime/61006/Bocchi_the_Rock_2nd_Season
Later,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,https://myanimelist.net/anime/61316/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_4th_Season
Later,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 4th Season: 2-nensei-hen 1 Gakki,https://myanimelist.net/anime/59708/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_4th_Season__2-nensei-hen_1_Gakki
Later,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san Season 2,https://myanimelist.net/anime/59873/Tokidoki_Bosotto_Russia-go_de_Dereru_Tonari_no_Alya-san_Season_2
Later,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru 2nd Season",https://myanimelist.net/anime/56732/Sekai_Saikou_no_Ansatsusha_Isekai_Kizoku_ni_Tensei_suru_2nd_Season
Later,Tensei shitara Ken deshita 2,https://myanimelist.net/anime/53913/Tensei_shitara_Ken_deshita_2
Later,Dandadan 3rd Season,https://myanimelist.net/anime/62516/Dandadan_3rd_Season
Later,Tsuki ga Michibiku Isekai Douchuu 3rd Season,https://myanimelist.net/anime/59139/Tsuki_ga_Michibiku_Isekai_Douchuu_3rd_Season
Later,Bleach: Sennen Kessen-hen - Kashin-tan,https://myanimelist.net/anime/60636/Bleach__Sennen_Kessen-hen_-_Kashin-tan
Later,Otome Game Sekai wa Mob ni Kibishii Sekai desu 2nd Season,https://myanimelist.net/anime/54000/Otome_Game_Sekai_wa_Mob_ni_Kibishii_Sekai_desu_2nd_Season
Later,Kusuriya no Hitorigoto 3rd Season,https://myanimelist.net/anime/61987/Kusuriya_no_Hitorigoto_3rd_Season
Later,Black Clover 2nd Season,https://myanimelist.net/anime/61967/Black_Clover_2nd_Season
Later,Tongari Boushi no Atelier,https://myanimelist.net/anime/51553/Tongari_Boushi_no_Atelier
Later,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 3rd Season",https://myanimelist.net/anime/61338/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su_3rd_Season
Later,SK∞ 2nd Season,https://myanimelist.net/anime/52750/SK∞_2nd_Season
Later,"Tantei wa Mou, Shindeiru. Season 2",https://myanimelist.net/anime/52480/Tantei_wa_Mou_Shindeiru_Season_2
Later,Ao no Hako 2nd Season,https://myanimelist.net/anime/61323/Ao_no_Hako_2nd_Season
Later,Dr. Stone: Science Future Part 3,https://myanimelist.net/anime/62568/Dr_Stone__Science_Future_Part_3
Later,Ookami to Koushinryou: Merchant Meets the Wise Wolf 2nd Season,https://myanimelist.net/anime/59928/Ookami_to_Koushinryou__Merchant_Meets_the_Wise_Wolf_2nd_Season
Later,Tokyo Revengers: Santen Sensou-hen,https://myanimelist.net/anime/59088/Tokyo_Revengers__Santen_Sensou-hen
Later,Naruto (Shinsaku Anime),https://myanimelist.net/anime/54688/Naruto_Shinsaku_Anime
Later,Chiyu Mahou no Machigatta Tsukaikata 2nd Season,https://myanimelist.net/anime/59467/Chiyu_Mahou_no_Machigatta_Tsukaikata_2nd_Season
Later,Make Heroine ga Oosugiru! 2nd Season,https://myanimelist.net/anime/61398/Make_Heroine_ga_Oosugiru_2nd_Season
Later,Skip to Loafer 2nd Season,https://myanimelist.net/anime/60548/Skip_to_Loafer_2nd_Season
Later,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu II",https://myanimelist.net/anime/60522/Gaikotsu_Kishi-sama_Tadaima_Isekai_e_Odekakechuu_II
Later,Kikansha no Mahou wa Tokubetsu desu 2nd Season,https://myanimelist.net/anime/57612/Kikansha_no_Mahou_wa_Tokubetsu_desu_2nd_Season
Later,Boruto: Naruto Next Generations Part 2,https://myanimelist.net/anime/54687/Boruto__Naruto_Next_Generations_Part_2
Later,Zenchi-teki na Dokusha no Shiten kara,https://myanimelist.net/anime/59230/Zenchi-teki_na_Dokusha_no_Shiten_kara
Later,Grand Blue Season 3,https://myanimelist.net/anime/62542/Grand_Blue_Season_3
Later,Nozomanu Fushi no Boukensha 2nd Season,https://myanimelist.net/anime/60525/Nozomanu_Fushi_no_Boukensha_2nd_Season
Later,Sabikui Bisco Season 2,https://myanimelist.net/anime/56008/Sabikui_Bisco_Season_2
Later,Tate no Yuusha no Nariagari Season 5,https://myanimelist.net/anime/62564/Tate_no_Yuusha_no_Nariagari_Season_5
Later,Kimi ga Shinu made Koi wo Shitai,https://myanimelist.net/anime/61126/Kimi_ga_Shinu_made_Koi_wo_Shitai
Later,"Gate Season 2: Jieitai Kanoumi nite, Kaku Tatakaeri",https://myanimelist.net/anime/61973/Gate_Season_2__Jieitai_Kanoumi_nite_Kaku_Tatakaeri
Later,Mahou Shoujo ni Akogarete 2nd Season,https://myanimelist.net/anime/60046/Mahou_Shoujo_ni_Akogarete_2nd_Season
Later,Kusuriya no Hitorigoto 3rd Season Part 2,https://myanimelist.net/anime/62841/Kusuriya_no_Hitorigoto_3rd_Season_Part_2
Later,"Tensei Kizoku, Kantei Skill de Nariagaru 3rd Season",https://myanimelist.net/anime/60601/Tensei_Kizoku_Kantei_Skill_de_Nariagaru_3rd_Season
Later,Hikaru ga Shinda Natsu 2nd Season,https://myanimelist.net/anime/62584/Hikaru_ga_Shinda_Natsu_2nd_Season
Later,Isekai Nonbiri Nouka 2,https://myanimelist.net/anime/62146/Isekai_Nonbiri_Nouka_2
Later,Haikyuu!! Bakemono-tachi no Iku Tokoro,https://myanimelist.net/anime/61125/Haikyuu_Bakemono-tachi_no_Iku_Tokoro
Later,Clevatess II: Majuu no Ou to Itsuwari no Yuusha Denshou,https://myanimelist.net/anime/62513/Clevatess_II__Majuu_no_Ou_to_Itsuwari_no_Yuusha_Denshou
Later,"Katainaka no Ossan, Kensei ni Naru 2nd Season",https://myanimelist.net/anime/61897/Katainaka_no_Ossan_Kensei_ni_Naru_2nd_Season
Later,Nige Jouzu no Wakagimi 2nd Season,https://myanimelist.net/anime/60059/Nige_Jouzu_no_Wakagimi_2nd_Season
Later,Toaru Kagaku no Railgun 4th Season,https://myanimelist.net/anime/61012/Toaru_Kagaku_no_Railgun_4th_Season
Later,2.5-jigen no Ririsa 2nd Season,https://myanimelist.net/anime/60510/25-jigen_no_Ririsa_2nd_Season
Later,Yuru Camp△ Season 4,https://myanimelist.net/anime/60267/Yuru_Camp△_Season_4
Later,Blue Lock (Shin Series),https://myanimelist.net/anime/62589/Blue_Lock_Shin_Series
Later,Ao Ashi 2nd Season,https://myanimelist.net/anime/61603/Ao_Ashi_2nd_Season
Later,Yozakura-san Chi no Daisakusen 2nd Season,https://myanimelist.net/anime/60055/Yozakura-san_Chi_no_Daisakusen_2nd_Season
Later,Sasaki to Pii-chan Season 2,https://myanimelist.net/anime/58518/Sasaki_to_Pii-chan_Season_2
Later,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 3rd Season,https://myanimelist.net/anime/62811/Kimi_no_Koto_ga_Daidaidaidaidaisuki_na_100-nin_no_Kanojo_3rd_Season
Later,"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai 2nd Season",https://myanimelist.net/anime/62081/Ore_wa_Subete_wo_Parry_suru__Gyaku_Kanchigai_no_Sekai_Saikyou_wa_Boukensha_ni_Naritai_2nd_Season
Later,Koukaku Kidoutai (TV),https://myanimelist.net/anime/58929/Koukaku_Kidoutai_TV
Later,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai 2nd Season,https://myanimelist.net/anime/61304/Kuroiwa_Medaka_ni_Watashi_no_Kawaii_ga_Tsuujinai_2nd_Season
Later,"Kanojo, Okarishimasu 5th Season",https://myanimelist.net/anime/62485/Kanojo_Okarishimasu_5th_Season
Later,Witch Watch 2nd Season,https://myanimelist.net/anime/62650/Witch_Watch_2nd_Season
Later,Tai-Ari deshita.: Ojousama wa Kakutou Game nante Shinai,https://myanimelist.net/anime/46488/Tai-Ari_deshita__Ojousama_wa_Kakutou_Game_nante_Shinai
Later,Isekai Munchkin: HP1 no Mama de Saikyou Saisoku Dungeon Kouryaku,https://myanimelist.net/anime/60253/Isekai_Munchkin__HP1_no_Mama_de_Saikyou_Saisoku_Dungeon_Kouryaku
Later,Re:Monster 2nd Season,https://myanimelist.net/anime/62567/Re_Monster_2nd_Season
Later,Ganbare! Nakamura-kun!!,https://myanimelist.net/anime/59551/Ganbare_Nakamura-kun
Later,"A-Rank Party wo Ridatsu shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu wo Mezasu. 2nd Season",https://myanimelist.net/anime/61925/A-Rank_Party_wo_Ridatsu_shita_Ore_wa_Moto_Oshiego-tachi_to_Meikyuu_Shinbu_wo_Mezasu_2nd_Season
Later,Rurouni Kenshin: Meiji Kenkaku Romantan 3rd Season,https://myanimelist.net/anime/61292/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_3rd_Season
Later,Rebuild World,https://myanimelist.net/anime/55843/Rebuild_World
Later,Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,https://myanimelist.net/anime/56734/Class_de_2-banme_ni_Kawaii_Onnanoko_to_Tomodachi_ni_Natta
Later,"Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?) (Zoku-hen)",https://myanimelist.net/anime/62543/Watashi_ga_Koibito_ni_Nareru_Wake_Nai_jan_Muri_Muri_※Muri_ja_Nakatta_Zoku-hen
Later,Tsuihou sareta Tensei Juukishi wa Game Chishiki de Musou suru,https://myanimelist.net/anime/59741/Tsuihou_sareta_Tensei_Juukishi_wa_Game_Chishiki_de_Musou_suru
Later,Izure Saikyou no Renkinjutsushi? 2nd Season,https://myanimelist.net/anime/62469/Izure_Saikyou_no_Renkinjutsushi_2nd_Season
Later,Reincarnation no Kaben,https://myanimelist.net/anime/59443/Reincarnation_no_Kaben
Later,Black Torch,https://myanimelist.net/anime/61169/Black_Torch
Later,Diamond no Ace: Act II Second Season,https://myanimelist.net/anime/58877/Diamond_no_Ace__Act_II_Second_Season
Later,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 3rd Season,https://myanimelist.net/anime/62512/Jidou_Hanbaiki_ni_Umarekawatta_Ore_wa_Meikyuu_wo_Samayou_3rd_Season
Later,Dark Gathering 2nd Season,https://myanimelist.net/anime/62865/Dark_Gathering_2nd_Season
Later,Nijusseiki Denki Mokuroku: Eureka Evrika,https://myanimelist.net/anime/62856/Nijusseiki_Denki_Mokuroku__Eureka_Evrika
Later,Super no Ura de Yani Suu Futari,https://myanimelist.net/anime/62076/Super_no_Ura_de_Yani_Suu_Futari
Later,Magic Knight Rayearth (2026),https://myanimelist.net/anime/59204/Magic_Knight_Rayearth_2026
Later,Sayonara Lara,https://myanimelist.net/anime/58878/Sayonara_Lara
Later,Risou no Himo Seikatsu,https://myanimelist.net/anime/57528/Risou_no_Himo_Seikatsu
Later,Liar Game,https://myanimelist.net/anime/62331/Liar_Game
Later,Amayo no Tsuki,https://myanimelist.net/anime/60301/Amayo_no_Tsuki
Later,Seitokai ni mo Ana wa Aru!,https://myanimelist.net/anime/61578/Seitokai_ni_mo_Ana_wa_Aru
Later,Boukyaku Battery (TV) 2nd Season,https://myanimelist.net/anime/60275/Boukyaku_Battery_TV_2nd_Season
